EmployeeID,Age,Gender,Department,JobRole,Education,MaritalStatus,BusinessTravel,OverTime,MonthlyIncome,YearsAtCompany,TotalWorkingYears,YearsSinceLastPromotion,DistanceFromHome,JobSatisfaction,WorkLifeBalance,EnvironmentSatisfaction,Attrition
1050,24,Male,Sales,Sales Representative,Bachelor,Married,Travel_Frequently,No,3615,2,2,0,8,2,4,1,Yes
1051,56,Female,IT,IT Manager,Bachelor,Single,Travel_Rarely,No,7274,3,33,3,18,3,4,3,No
1052,25,Male,HR,HR Specialist,Master,Married,Travel_Rarely,No,3213,1,1,1,17,3,1,2,No
1053,50,Female,R&D,Research Scientist,Bachelor,Divorced,Travel_Frequently,No,5343,10,27,8,23,1,2,3,Yes
1054,40,Male,Sales,Sales Representative,Bachelor,Divorced,Travel_Rarely,No,6111,16,17,10,7,1,4,4,No
1055,55,Male,Sales,Sales Representative,Bachelor,Single,Travel_Rarely,No,7493,14,33,4,21,4,1,1,No
1056,34,Male,R&D,Research Scientist,Bachelor,Married,Travel_Frequently,No,3792,3,11,1,23,2,4,3,No
1057,58,Male,Sales,Sales Executive,Bachelor,Married,Travel_Frequently,No,5680,8,38,7,1,4,3,3,No
1058,42,Female,R&D,Laboratory Technician,College,Married,Non-Travel,No,7421,17,18,7,13,3,2,2,No
1059,29,Female,IT,Software Engineer,Master,Single,Travel_Rarely,No,3204,4,9,3,17,3,1,4,No
1060,50,Female,Finance,Accountant,Bachelor,Married,Travel_Frequently,No,8704,19,28,0,11,1,3,4,No
1061,38,Male,Sales,Manager,Master,Single,Travel_Rarely,No,10171,13,18,0,10,1,4,2,No
1062,35,Female,R&D,Research Scientist,College,Married,Travel_Rarely,Yes,4269,5,11,3,19,1,4,2,Yes
1063,38,Male,Sales,Sales Representative,Bachelor,Married,Travel_Frequently,No,6435,14,18,1,28,3,4,3,No
1064,38,Female,R&D,Manager,College,Married,Travel_Rarely,Yes,10088,12,18,3,26,1,4,3,No
1065,28,Male,HR,Manager,Bachelor,Married,Travel_Rarely,No,7684,8,8,2,10,1,3,2,No
1066,53,Female,IT,Software Engineer,Bachelor,Single,Travel_Rarely,No,5647,8,32,3,4,4,3,3,No
1067,55,Female,IT,Software Engineer,Master,Divorced,Travel_Rarely,Yes,6377,12,35,10,24,1,4,3,No
1068,50,Male,Sales,Sales Executive,Bachelor,Married,Travel_Rarely,No,8112,17,26,0,23,2,1,4,No
1069,27,Male,R&D,Laboratory Technician,Master,Married,Travel_Rarely,Yes,4702,6,6,6,24,4,3,4,No
1070,22,Female,R&D,Laboratory Technician,Bachelor,Divorced,Travel_Rarely,No,3654,1,1,1,12,2,3,1,Yes
1071,25,Male,Finance,Financial Analyst,College,Divorced,Travel_Rarely,Yes,3611,0,1,0,19,3,2,2,No
1072,58,Male,Sales,Sales Executive,Below College,Single,Travel_Rarely,No,4353,4,36,1,28,3,2,1,No
1073,23,Male,Sales,Sales Representative,Bachelor,Single,Travel_Rarely,Yes,3593,0,0,0,12,1,4,4,No
1074,53,Female,Sales,Manager,College,Divorced,Travel_Frequently,No,11373,20,30,1,22,1,4,4,No
1075,24,Male,R&D,Research Scientist,Bachelor,Single,Travel_Rarely,No,3429,2,2,0,17,3,4,3,No
1076,33,Female,HR,Manager,Bachelor,Married,Travel_Rarely,No,8744,7,10,5,4,4,4,4,No
1077,24,Male,HR,Recruiter,Bachelor,Divorced,Travel_Rarely,No,3701,2,4,1,18,3,2,1,No
1078,23,Female,Finance,Financial Analyst,College,Divorced,Travel_Rarely,No,2459,0,0,0,28,2,2,4,Yes
1079,59,Male,IT,IT Manager,College,Single,Travel_Rarely,Yes,8218,8,35,6,1,3,3,3,Yes
1080,25,Male,IT,Data Analyst,Master,Divorced,Travel_Rarely,No,3977,2,2,0,11,2,3,3,Yes
1081,25,Female,IT,Data Analyst,Bachelor,Married,Travel_Rarely,No,2941,2,2,1,25,4,4,3,No
1082,39,Male,R&D,Manager,Master,Married,Travel_Rarely,No,9117,12,18,1,7,1,1,2,Yes
1083,28,Female,IT,Data Analyst,Below College,Single,Travel_Rarely,No,4764,4,4,0,24,3,1,4,No
1084,45,Female,R&D,Manager,Master,Single,Travel_Rarely,No,7953,3,23,0,23,3,2,4,No
1085,25,Female,R&D,Manager,College,Married,Travel_Rarely,Yes,7336,3,3,1,17,2,1,1,Yes
1086,31,Male,Sales,Sales Executive,Bachelor,Divorced,Travel_Frequently,No,4644,5,11,2,29,4,4,4,No
1087,48,Male,HR,HR Specialist,Bachelor,Married,Non-Travel,No,6539,14,25,5,3,3,1,3,No
1088,59,Female,Sales,Sales Executive,Bachelor,Single,Travel_Frequently,No,7158,18,36,7,20,1,4,2,Yes
1089,25,Male,Finance,Financial Analyst,Bachelor,Married,Travel_Rarely,No,4013,5,5,0,10,4,2,3,No
1090,41,Male,HR,HR Specialist,College,Married,Travel_Rarely,No,6193,12,17,10,22,2,3,1,No
1091,25,Female,R&D,Manager,Bachelor,Married,Non-Travel,No,7073,1,1,1,22,3,2,1,Yes
1092,32,Male,Sales,Sales Representative,Bachelor,Divorced,Travel_Rarely,Yes,4794,4,11,1,25,1,1,3,Yes
1093,30,Female,HR,Manager,Master,Single,Travel_Rarely,No,9540,10,10,4,24,2,4,3,No
1094,43,Female,IT,Data Analyst,College,Married,Non-Travel,No,5890,9,20,7,20,4,2,2,No
1095,53,Male,R&D,Research Scientist,College,Single,Travel_Frequently,No,4201,2,31,1,14,3,4,2,No
1096,52,Female,R&D,Laboratory Technician,Master,Divorced,Travel_Rarely,No,5652,12,31,2,4,3,2,1,Yes
1097,28,Female,Sales,Sales Representative,College,Divorced,Travel_Rarely,Yes,3691,5,5,3,27,1,1,3,Yes
1098,27,Male,Sales,Sales Representative,Bachelor,Divorced,Non-Travel,No,5213,6,6,4,29,4,1,1,No
1099,47,Male,IT,Software Engineer,College,Divorced,Travel_Rarely,Yes,5822,11,23,8,12,4,2,1,No
1100,22,Female,R&D,Laboratory Technician,Master,Single,Travel_Rarely,No,2493,0,0,0,24,3,1,3,Yes
1101,31,Female,R&D,Laboratory Technician,College,Single,Travel_Frequently,Yes,4075,8,8,5,10,2,1,4,No
1102,50,Female,R&D,Manager,Master,Married,Travel_Frequently,Yes,11059,20,30,7,4,3,1,3,No
1103,51,Female,R&D,Research Scientist,Doctorate,Single,Travel_Rarely,Yes,6881,16,29,5,20,1,4,1,Yes
1104,39,Female,R&D,Laboratory Technician,Master,Married,Travel_Rarely,Yes,5336,13,15,6,24,4,3,4,Yes
1105,24,Female,Finance,Accountant,Master,Married,Non-Travel,No,4238,2,2,0,20,2,1,2,Yes
1106,44,Male,HR,Recruiter,Bachelor,Divorced,Travel_Rarely,No,4562,4,20,2,3,3,3,4,No
1107,21,Male,Sales,Sales Executive,College,Divorced,Travel_Rarely,No,3441,0,0,0,15,1,3,3,Yes
1108,48,Male,Sales,Sales Executive,Bachelor,Married,Travel_Frequently,No,3626,2,25,2,18,3,3,1,No
1109,43,Male,IT,Data Analyst,Bachelor,Married,Travel_Frequently,No,4239,6,23,4,18,2,4,1,Yes
1110,39,Female,Finance,Accountant,Bachelor,Married,Travel_Rarely,No,7991,16,16,8,11,4,1,2,No
1111,60,Male,IT,IT Manager,College,Divorced,Travel_Rarely,No,9372,13,39,8,6,1,1,2,No
1112,32,Female,IT,Software Engineer,Bachelor,Divorced,Travel_Rarely,No,5100,11,11,9,22,1,2,2,Yes
1113,22,Female,IT,Data Analyst,Bachelor,Divorced,Travel_Rarely,No,3564,1,1,1,10,1,4,3,Yes
1114,46,Female,Sales,Sales Representative,Bachelor,Married,Travel_Rarely,No,5003,6,23,2,28,2,3,3,No
1115,49,Male,Sales,Sales Executive,Master,Married,Travel_Rarely,Yes,7436,14,27,2,13,1,1,3,No
1116,40,Male,Finance,Manager,College,Married,Travel_Rarely,No,10268,15,19,3,1,4,4,3,No
1117,38,Female,R&D,Research Scientist,Master,Divorced,Travel_Rarely,No,6382,14,14,6,5,3,1,1,No
1118,55,Male,R&D,Manager,Master,Single,Travel_Rarely,No,11440,17,33,1,20,4,4,3,No
1119,55,Female,IT,Software Engineer,Master,Married,Travel_Rarely,No,3579,6,34,1,5,4,1,1,No
1120,59,Female,R&D,Laboratory Technician,Bachelor,Single,Travel_Rarely,No,6451,12,38,10,19,3,3,4,Yes
1121,60,Male,R&D,Laboratory Technician,Bachelor,Divorced,Travel_Rarely,Yes,6099,15,36,6,17,2,1,4,Yes
1122,56,Male,HR,HR Specialist,Bachelor,Divorced,Travel_Frequently,No,3414,0,35,0,7,4,2,4,No
1123,40,Female,R&D,Manager,Master,Divorced,Travel_Rarely,No,9618,12,16,4,12,2,4,3,No
1124,37,Female,Sales,Sales Executive,Bachelor,Divorced,Travel_Rarely,No,5232,9,16,1,12,2,4,3,No
1125,42,Male,R&D,Laboratory Technician,Master,Single,Travel_Rarely,No,3593,1,20,1,9,1,3,4,No
1126,26,Male,HR,HR Specialist,Bachelor,Married,Travel_Rarely,No,2455,1,5,0,14,2,2,1,Yes
1127,46,Female,R&D,Research Scientist,Master,Single,Travel_Rarely,Yes,8322,20,23,3,2,3,3,3,No
1128,31,Female,IT,Data Analyst,Doctorate,Married,Travel_Frequently,No,4168,1,10,0,24,4,4,2,No
1129,38,Female,HR,Recruiter,College,Single,Travel_Rarely,No,5894,14,14,10,26,2,4,3,No
1130,41,Female,Sales,Manager,Master,Single,Travel_Frequently,Yes,7177,6,17,3,13,4,4,3,No
1131,44,Male,Sales,Sales Representative,Master,Single,Travel_Rarely,No,5338,8,21,7,12,3,1,3,No
1132,39,Male,R&D,Manager,Master,Divorced,Travel_Rarely,No,8563,11,17,8,15,2,2,4,No
1133,33,Male,IT,IT Manager,Bachelor,Divorced,Travel_Rarely,No,6126,2,9,2,27,3,1,1,Yes
1134,48,Male,R&D,Manager,Bachelor,Divorced,Non-Travel,No,10270,18,27,7,17,4,1,4,No
1135,45,Female,R&D,Research Scientist,Bachelor,Single,Travel_Frequently,No,4934,6,25,0,3,1,4,3,No
1136,46,Male,R&D,Laboratory Technician,Master,Married,Travel_Rarely,No,7918,20,25,10,28,4,3,4,No
1137,42,Male,IT,Data Analyst,Doctorate,Married,Travel_Rarely,No,7798,17,21,8,1,2,2,1,No
1138,35,Female,R&D,Research Scientist,Doctorate,Single,Travel_Rarely,Yes,4259,4,13,0,25,1,1,4,Yes
1139,23,Male,Sales,Manager,College,Divorced,Travel_Rarely,No,7281,3,3,2,10,2,1,2,Yes
1140,53,Male,IT,IT Manager,Doctorate,Divorced,Travel_Rarely,Yes,7846,9,30,8,12,2,4,4,Yes
1141,39,Female,R&D,Research Scientist,Master,Divorced,Travel_Rarely,No,7900,17,18,6,15,2,3,2,No
1142,36,Male,Sales,Sales Executive,Master,Single,Travel_Rarely,Yes,6596,14,14,10,24,4,3,1,No
1143,32,Male,Sales,Sales Executive,Doctorate,Single,Travel_Rarely,No,3933,6,9,6,7,3,3,1,No
1144,33,Female,Sales,Manager,Bachelor,Married,Travel_Rarely,No,9592,12,12,7,21,3,4,4,No
1145,50,Female,IT,IT Manager,Bachelor,Divorced,Travel_Rarely,No,8283,11,29,6,9,1,2,2,No
1146,44,Male,Sales,Sales Executive,Bachelor,Married,Travel_Rarely,No,8229,17,21,5,24,3,3,4,No
1147,31,Male,IT,Software Engineer,Master,Single,Non-Travel,No,3094,1,7,0,5,1,1,1,Yes
1148,23,Female,R&D,Laboratory Technician,Bachelor,Married,Non-Travel,Yes,3084,0,0,0,24,4,1,1,No
1149,26,Male,Finance,Accountant,College,Married,Travel_Rarely,No,4878,5,5,1,13,3,3,3,No
1150,25,Male,Sales,Manager,College,Married,Travel_Rarely,No,8189,5,5,2,6,4,1,1,No
1151,53,Male,IT,Data Analyst,Master,Married,Travel_Frequently,No,5392,6,32,4,3,4,3,1,No
1152,21,Male,Sales,Sales Representative,College,Married,Travel_Rarely,No,2332,0,0,0,19,4,1,3,Yes
1153,25,Female,IT,IT Manager,Bachelor,Divorced,Travel_Rarely,No,8234,3,5,3,25,1,3,4,No
1154,47,Male,R&D,Laboratory Technician,College,Divorced,Travel_Rarely,Yes,5168,12,23,2,9,3,2,1,No
1155,25,Male,R&D,Research Scientist,Bachelor,Divorced,Travel_Rarely,No,2928,3,3,3,6,3,1,2,Yes
1156,25,Female,Sales,Manager,College,Married,Travel_Rarely,No,6671,0,2,0,17,4,1,2,Yes
1157,30,Female,R&D,Research Scientist,Master,Married,Travel_Rarely,No,5933,8,8,3,8,1,3,3,No
1158,45,Female,Sales,Sales Executive,Master,Divorced,Travel_Frequently,No,5881,12,21,2,27,3,4,3,No
1159,32,Female,HR,Manager,Master,Married,Travel_Rarely,No,8731,5,10,3,19,3,3,4,No
1160,57,Male,Finance,Accountant,Master,Single,Travel_Frequently,No,3633,0,33,0,10,4,2,4,No
1161,35,Female,Sales,Sales Representative,Bachelor,Divorced,Travel_Rarely,No,6442,13,14,0,13,1,4,4,No
1162,58,Male,R&D,Manager,Master,Married,Travel_Frequently,No,8403,7,38,5,21,3,2,1,No
1163,26,Female,R&D,Research Scientist,Master,Divorced,Travel_Rarely,No,4051,5,5,1,15,2,4,3,No
1164,38,Female,Sales,Sales Executive,Master,Divorced,Travel_Rarely,No,3452,3,18,3,15,2,3,3,Yes
1165,40,Male,IT,Software Engineer,Master,Single,Travel_Frequently,No,3577,1,18,0,4,1,1,3,No
1166,55,Female,R&D,Laboratory Technician,Master,Single,Travel_Rarely,No,4560,7,32,6,1,2,2,4,No
1167,37,Male,IT,Data Analyst,College,Divorced,Travel_Frequently,No,3153,3,13,2,15,2,3,3,No
1168,27,Female,HR,Manager,College,Single,Travel_Rarely,No,7391,5,5,5,4,3,1,2,Yes
1169,28,Female,R&D,Manager,College,Married,Travel_Rarely,No,7341,5,5,2,5,2,2,4,No
1170,44,Female,R&D,Research Scientist,Below College,Single,Travel_Rarely,No,5919,15,21,4,19,4,4,2,No
1171,56,Female,Sales,Sales Representative,Master,Divorced,Travel_Rarely,Yes,7110,16,32,3,27,1,3,3,No
1172,35,Female,Sales,Manager,College,Divorced,Travel_Rarely,Yes,10588,14,15,5,26,1,4,1,No
1173,30,Male,HR,Recruiter,Bachelor,Divorced,Travel_Rarely,No,4162,6,9,6,23,3,3,2,No
1174,28,Female,Finance,Accountant,Bachelor,Single,Travel_Rarely,No,4299,8,8,6,23,2,2,2,No
1175,60,Female,R&D,Laboratory Technician,Bachelor,Married,Travel_Rarely,Yes,6922,14,37,0,29,1,4,3,No
1176,49,Female,IT,Data Analyst,Master,Married,Travel_Rarely,No,6799,17,29,2,11,4,2,4,No
1177,23,Male,R&D,Laboratory Technician,College,Married,Non-Travel,No,4653,3,3,3,28,4,1,1,Yes
1178,39,Male,HR,HR Specialist,Bachelor,Single,Travel_Rarely,No,3860,2,17,1,29,3,1,3,No
1179,25,Male,IT,Software Engineer,Master,Single,Travel_Frequently,No,3269,5,5,3,1,2,2,4,No
1180,44,Male,R&D,Research Scientist,Master,Single,Travel_Rarely,No,4334,3,24,1,27,3,2,4,Yes
1181,30,Female,R&D,Manager,College,Single,Travel_Rarely,No,8761,6,8,0,7,2,4,4,No
1182,40,Male,R&D,Laboratory Technician,Master,Married,Travel_Rarely,No,5736,8,19,8,28,2,3,1,Yes
1183,23,Male,R&D,Manager,College,Divorced,Travel_Rarely,Yes,6239,0,0,0,11,4,1,1,No
1184,21,Male,Finance,Accountant,Bachelor,Married,Travel_Rarely,Yes,3537,1,1,1,23,1,4,3,Yes
1185,29,Female,R&D,Manager,Bachelor,Divorced,Travel_Rarely,Yes,8550,9,9,1,19,2,2,3,Yes
1186,23,Male,R&D,Research Scientist,Master,Divorced,Non-Travel,Yes,2994,3,3,3,1,1,3,2,No
1187,36,Male,R&D,Manager,Bachelor,Divorced,Non-Travel,No,7186,4,14,4,26,3,1,1,No
1188,43,Male,R&D,Manager,Master,Single,Travel_Rarely,Yes,11831,18,20,8,19,2,3,1,Yes
1189,35,Male,IT,Data Analyst,Master,Divorced,Travel_Rarely,No,5882,11,12,3,26,2,2,1,No
1190,40,Female,R&D,Manager,Doctorate,Married,Non-Travel,No,11647,18,20,7,17,1,2,2,No
1191,40,Male,IT,Software Engineer,College,Married,Travel_Rarely,Yes,7014,14,16,7,20,2,3,3,No
1192,54,Male,IT,IT Manager,Master,Single,Travel_Frequently,No,6802,0,33,0,27,1,2,3,No
1193,39,Male,R&D,Manager,Master,Single,Non-Travel,No,11491,16,18,3,5,4,4,1,No
1194,43,Female,R&D,Manager,College,Divorced,Travel_Frequently,Yes,11212,18,23,3,19,2,4,1,Yes
1195,40,Female,IT,Software Engineer,College,Married,Travel_Rarely,Yes,4318,8,17,1,4,2,2,1,No
1196,48,Female,Finance,Accountant,Master,Single,Travel_Rarely,No,5692,8,25,5,23,1,2,3,Yes
1197,45,Male,IT,Software Engineer,Bachelor,Divorced,Travel_Rarely,No,5750,8,23,7,15,2,1,4,Yes
1198,20,Male,IT,Data Analyst,Bachelor,Single,Non-Travel,Yes,3192,0,0,0,19,4,3,1,Yes
1199,25,Female,HR,HR Specialist,Bachelor,Single,Travel_Rarely,No,3932,1,5,1,24,1,2,4,Yes
1200,37,Female,Sales,Sales Executive,Bachelor,Single,Non-Travel,Yes,3843,4,14,3,29,2,3,4,Yes
1201,35,Male,Sales,Manager,College,Married,Travel_Rarely,No,9045,11,12,0,9,4,3,3,No
1202,50,Female,IT,Data Analyst,Master,Divorced,Non-Travel,No,4295,7,26,3,18,1,2,2,No
1203,42,Male,Finance,Financial Analyst,Bachelor,Divorced,Travel_Frequently,No,5690,7,21,7,19,3,1,3,No
1204,25,Male,Sales,Sales Executive,College,Single,Travel_Rarely,Yes,4879,4,4,1,20,4,1,3,No
1205,23,Male,IT,Software Engineer,Bachelor,Divorced,Travel_Rarely,No,4467,2,2,0,3,2,1,3,Yes
1206,47,Female,R&D,Research Scientist,Master,Married,Travel_Rarely,No,4024,5,25,5,10,3,2,2,Yes
1207,45,Male,IT,IT Manager,Master,Single,Travel_Rarely,No,10538,19,24,5,11,2,1,4,Yes
1208,60,Female,Finance,Accountant,College,Single,Non-Travel,Yes,2525,0,37,0,26,2,1,3,Yes
1209,51,Female,Finance,Financial Analyst,Master,Single,Travel_Rarely,No,7174,17,29,5,3,4,2,2,No
1210,30,Female,Sales,Sales Representative,Bachelor,Divorced,Travel_Rarely,No,3942,2,9,1,1,1,3,4,Yes
1211,32,Female,Sales,Sales Executive,Bachelor,Divorced,Travel_Frequently,Yes,4196,8,8,2,2,3,3,2,Yes
1212,38,Female,Sales,Sales Executive,College,Married,Travel_Rarely,Yes,3719,3,17,2,28,2,3,1,Yes
1213,43,Female,R&D,Research Scientist,Master,Divorced,Non-Travel,No,3789,5,21,5,8,3,4,4,No
1214,54,Female,Sales,Sales Representative,College,Married,Non-Travel,No,4922,7,30,0,29,4,4,4,No
1215,59,Male,Finance,Manager,Bachelor,Divorced,Travel_Rarely,Yes,9258,14,39,10,2,2,2,2,Yes
1216,24,Male,R&D,Laboratory Technician,Below College,Divorced,Travel_Rarely,No,4128,1,1,1,28,3,3,4,Yes
1217,57,Male,Sales,Manager,Master,Divorced,Travel_Rarely,No,10540,18,37,0,13,3,3,4,No
1218,58,Female,R&D,Manager,Master,Married,Non-Travel,No,10027,12,38,4,16,3,2,1,No
1219,26,Male,IT,IT Manager,Bachelor,Single,Travel_Rarely,No,8242,5,5,1,14,4,3,3,No
1220,53,Female,R&D,Laboratory Technician,Master,Divorced,Non-Travel,No,6277,16,33,3,25,1,3,4,No
1221,35,Male,Sales,Sales Executive,Bachelor,Divorced,Travel_Frequently,No,3936,1,12,0,15,2,3,3,Yes
1222,31,Female,R&D,Laboratory Technician,Bachelor,Single,Travel_Frequently,No,4333,7,7,3,1,2,3,1,No
1223,33,Female,HR,Manager,Bachelor,Single,Travel_Rarely,Yes,9325,10,10,9,6,1,4,2,No
1224,37,Female,R&D,Manager,Master,Married,Travel_Rarely,No,9636,11,14,0,17,2,4,3,No
1225,55,Female,HR,Recruiter,Bachelor,Divorced,Travel_Frequently,No,4514,3,33,2,9,3,3,3,No
1226,23,Female,R&D,Research Scientist,Bachelor,Divorced,Non-Travel,No,4107,1,1,0,14,4,3,3,No
1227,54,Female,IT,IT Manager,College,Married,Travel_Rarely,No,9699,16,32,8,16,2,2,3,No
1228,41,Male,Sales,Manager,Bachelor,Married,Travel_Frequently,Yes,9011,11,20,7,9,3,4,3,Yes
1229,59,Male,HR,Manager,Master,Single,Travel_Frequently,No,7110,6,36,2,28,4,3,4,No
1230,29,Female,R&D,Laboratory Technician,Bachelor,Single,Travel_Rarely,No,2509,2,8,0,15,2,3,1,No
1231,28,Female,IT,Data Analyst,College,Married,Travel_Frequently,No,3327,5,5,2,18,4,4,1,No
1232,20,Male,R&D,Research Scientist,Master,Married,Travel_Frequently,No,2342,0,0,0,3,1,4,3,No
1233,47,Male,R&D,Laboratory Technician,College,Single,Travel_Rarely,No,5789,15,25,0,8,2,2,4,No
1234,22,Female,Sales,Sales Representative,College,Married,Travel_Rarely,No,2098,0,0,0,23,1,1,1,Yes
1235,60,Male,Sales,Manager,College,Divorced,Travel_Rarely,No,10451,13,38,4,29,3,2,4,Yes
1236,58,Male,Sales,Sales Executive,Bachelor,Single,Travel_Rarely,No,6328,16,36,7,2,3,4,3,No
1237,25,Male,Sales,Manager,Bachelor,Married,Travel_Frequently,Yes,7602,1,1,1,9,1,1,1,Yes
1238,22,Female,Sales,Sales Executive,College,Divorced,Travel_Rarely,No,2019,0,0,0,28,1,1,1,No
1239,25,Female,Finance,Financial Analyst,Master,Married,Travel_Rarely,Yes,4461,3,3,1,13,4,4,3,Yes
1240,30,Male,HR,HR Specialist,Bachelor,Divorced,Travel_Frequently,No,5345,7,7,2,12,4,2,4,No
1241,48,Male,R&D,Laboratory Technician,Master,Divorced,Non-Travel,No,5063,8,28,3,17,1,2,3,No
1242,44,Male,HR,Manager,College,Married,Travel_Rarely,Yes,12030,19,20,5,6,2,4,4,No
